leagueId,queueType,tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
a3387fef-4cde-46ab-95b4-2373cba33af9,RANKED_SOLO_5x5,DIAMOND,IV,qKFVLNnDWhxzW69JNAarNQYwl1cdhMpvyKvzu5b560X4JZ6MRgmCF4_vk7sIEwDKlpaK8ixUpZNQgQ,35,115,86,False,False,True,True
fef224ac-e9cb-4ffc-84ea-3bc98a465f49,RANKED_SOLO_5x5,DIAMOND,IV,3Nmg9JvkUSCTcsV5kxMdHUrv6TK53a5RoZ7vhIt9Zmu-TZQMxp-Cn3RWAlpqgVIx-_nhoV4nwVR8dA,1,32,17,False,False,False,False
45a3c4b8-7643-4984-8cba-6c9d71d119fd,RANKED_SOLO_5x5,DIAMOND,IV,nDW8FfD15Hvg-YXY_18Y-xYAwAuoBy6U1Nlq7Y-w9TElVLy5rDVFWt2vtlyXAgCzlj0FHcyvxOC_Ww,70,94,86,False,False,False,False
134bcb65-04f1-496a-8796-1b8dc3889afa,RANKED_SOLO_5x5,DIAMOND,IV,X5gPLEUrGEH3CfIBYr2zLVfF_S81V6aqiILLHlaXKLLsFuBi8WPxTz96Q63Xx3wH97n0ykcAYmzAAQ,64,104,95,False,False,False,False
d36c9e6d-bb3a-41e1-9789-a24901188da0,RANKED_SOLO_5x5,DIAMOND,IV,xnIQ4s__OI3jb_2-TM5Oib8XfnThTJx4iyzSUmj-avrvBSoG3V6z_WoN742iJhZ2TW6URdXv-f-nHw,0,35,29,False,False,False,False
9acc3c80-3ef2-4cdb-a813-3d0e208f5204,RANKED_SOLO_5x5,DIAMOND,IV,1u7h6hdsX90t9-g_62fGwk2PQ9Zpcwqc5bsh1u2Gcxy7yp2ibio8SrgfuZVxWEDz-yPizviCmxzR6A,5,172,166,False,False,False,False
d006f958-3025-4bdd-9a39-d5f9ba21413f,RANKED_SOLO_5x5,DIAMOND,IV,PnZaGxc22eYQGmQSp3ZbZ5nixqRwQj2a7IZbXOnjjFj4T_B_zqNsKepfHboiZyejzMMQQYAH1ra17g,0,141,125,False,False,True,False
6e643bd7-4db5-4434-a1ea-0e146baff8ff,RANKED_SOLO_5x5,DIAMOND,IV,KfwdEOvOKuGJVpg7or7hQGmu9iTBXZrrU_18p24wckJbfW8f93NAAlxHtMS_93DpZqnQ5E7KcapKtg,2,39,28,False,False,False,False
fe943901-a79a-4ade-80ae-8b6d554bc4b4,RANKED_SOLO_5x5,DIAMOND,IV,FKwy2PCRCEgqeOTONZUWUqT-Kenpw-t_J_3IfoOvo62SSIEgov4rF2ufO56csw5kixqvT6GNtVtY7g,70,57,40,False,False,False,False
930b203d-61fa-48b7-a9ca-f6e54d5ca28d,RANKED_SOLO_5x5,DIAMOND,IV,Sbyc0CVcG9r65tC_9pIStNveV_whHWSMLyFbtAFmKotMipKUhSj0HViJ3w1L9xQysSZRzjPAqdjOtg,45,56,44,False,False,False,False
