leagueId,queueType,tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,Q0YBciIpDLro0ebDgK0sHYtmjyZnaHOQ3AZ1GD-tGpYKkwx6ZHbdNVktdwrml8HexVoKIVlM1vhzrw,1180,321,269,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,LDunl8rH8C2vw6G7fOR7qtPSxl-mh56eiII9US0BbPEp60bOBXe1dvIU_WDA1ohLd4ZA2iTWQgVXGw,1178,175,127,False,False,True,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,d6Yxx__RSLbaHF3t9D3FWmaA7_csQ8_VIBy6xPJh6qbGGM7_wQEfCgswa82wGGFjvGP-HcIbOMJKVA,1177,275,221,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,ReIhQbZ-7_GN7OPLxh6pDnvFcqidhtWFFIxVPZMufRbX3jGUP4QI2_3VU10sRF5CR2T9B017TBjY9g,1173,240,181,True,False,False,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,bUJ9upCO3VpIw2gGjrxVQUp0BdyZVJLeVQ7_iWQcWkce2JgIpGNl_QwwJnLLm3PNqV2n1tuZqnYl_A,1172,667,611,True,False,False,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,0fvC9mnxXlvnBxeVQ9FLddH-SXihexJIAvxGVadVpHpB9tjs7ac9cbI4io79mQ7Rb9Y_GM6OOi-png,1171,266,207,False,False,False,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,h_3bTzjDx10x2s-26s6rySaeonXNyqUUSoI57wAPscaVfcdxF7KLRE-Y-bRmKw21vKPrcFt_uPqWJQ,1169,529,474,False,False,False,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,93tD8qiwXNELFsNRkhH0TFM0LUrzqdULBnkxtmDxpwpstGiiYwasuYvAy1dNP3tTk-GBqhXy_rdkLQ,1161,264,202,False,False,True,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,8Hx0dcpGq0Jmfy5Gd54GUzRveX0b63wgYXwaoXLhzCyyHCDgq4GVR2recXlkFZJfg-5WWZy43mMq7w,1155,475,430,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,9bWLRyyVc7UR03n-MKoAvqayGqvKHbfc5cmK0bM2TmIyXdXJ2O-SskU6ZVGV-_MtTRbqICcqfupVzg,1154,386,325,False,False,False,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,F11qpqqP3TTwwljco35C5CcKuKa3g1teXFavJsE0CD78Jzree3ipPJ5S_9KQeG3Lr66qjvEKeVgMUQ,1153,1076,1026,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,a0mZENRlBbKkJJMZ8idafYu58h11uSJmP7SS2cYUXy1bXP0_ebOWVMMYwE_tZZzXk9MvhDTXFgL37Q,1153,387,349,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,vJgQdqYs0haDMrTJU1VbH_Tr4-rdYQwUqIRAuuD6ZWfgtMccI2ZgF4Yxlw4DlbyD7oTp55kAp7h5VA,1153,228,165,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,sRlPEfl0fP2RIUvlwaNmI2HA2nZXws7k9QrN0zecd024XPZuaXGlk23dD6Mdec42nvSJ6uQqxc4Y4Q,1151,460,411,False,False,False,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,pxkpoVfWBe8ycYrshDW5mDmGsZvNsurzkGOadio-lfbuldsZSv2ZDIN-_I1BrhViFoLcUMsMU-nyRw,1150,317,230,False,False,False,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,mSi_akUlR-64Z-ekQTFUl50zkC-94793rJ0-Cc2yVxDvXhNRDIyflLQqbiA66nhpT6lAuubJQ6-jag,1150,298,261,False,False,False,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,_6qxLWKj30cB9gmoXeW02hnvQOydRJSlYCbPvfHqxIDzNRsUCTuS7F9olGj5PMI2eKs7XRqNYNf7ow,1149,210,147,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,O68yztDt__WSgBKOnF1vTshUBDLcYKlRtMc-7oifQq9cK0HzWILnJ4eRnQmlLkZEA4uoJyPI_BRZjg,1147,220,173,False,False,False,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,SFffhNQn6nWRRtp3RhWkdu1W7Mp77pkYs_bO77KDjdCUYCaUVNRauRXBnsonjAdMzCuBCGO3iELOng,1147,212,168,False,False,False,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,e5SbkKc4rgRMjj-KSnhq8N86AroTm4qILxwBefKKqkpIj__oYnnW4tlMtpTGTuyJQEA0CDtESPFUxg,1144,912,877,False,False,True,False
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,O6fnpLS2avRIMabNuL3ryXqUE4KWGD1jt7eb2lHJ4JmqI4n18PCUEdro-TzTl19NL3EqbAd882kPyw,1144,414,368,False,False,False,True
74e32628-c4c8-30e4-9835-1a35f272a62a,RANKED_SOLO_5x5,GRANDMASTER,I,piqEOtmtjcl7YDUHN_Z4npRuDLqwm0ArW4mUPHKhnuVtAzoUkzChboU0A1BKhrWOHzTDH6dl-LEqJQ,1142,859,791,False,False,True,False
