leagueId,queueType,tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
083bf991-2ac4-4e30-a62b-ebb24b6279e4,RANKED_SOLO_5x5,PLATINUM,IV,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,45,75,85,False,False,True,False
b69b8997-1fb5-434a-9c85-ead41879b424,RANKED_SOLO_5x5,PLATINUM,IV,s7x0R7YuOWm0D-0fcNstVXvBFFMFNSTepSXV12cGlxjiGzKqPHi_DYYmfTPETIgBB7BldS6vx0gkcw,32,23,28,False,False,False,False
6a4abf69-d05f-4b93-892d-6427bc81a52b,RANKED_SOLO_5x5,PLATINUM,IV,HRZNdM3ZkJkl5nwOPpnb1-on17Mn_nRovulSNL4iFygVfwlshAy_Aj9GzO6YVupWGRF2iTt2DBBcsg,0,41,25,False,False,False,False
b04a763a-6661-48bf-8462-6f465a58aa0d,RANKED_SOLO_5x5,PLATINUM,IV,KWxtQasK_d0jOeYxaMRhUfknXlvBrmwsN7jWBkgO5s6sH_iC1azv8YccidzuAhudiM8u3dRuYWSDzA,43,31,37,False,False,False,False
f37d1735-b0f4-4184-b409-6d438095e5d6,RANKED_SOLO_5x5,PLATINUM,IV,6ogTzNl3ETJ9BA795lGsJaeIuTPGsrwTKxQ21BDjxKLvTTT81WNnPeeJnSGnM8wBI7sVZuThxRfkuA,0,100,96,False,False,False,False
57020482-a851-44d5-86ba-922ea05a8ea7,RANKED_SOLO_5x5,PLATINUM,IV,mqD9r-4JllYL0tfIk5HgqSpsz7yfx_9WnOMPO9zSlmElmL4QGT3nYzf4rbms-wpa1sFw1VtZ4Hky1Q,21,13,7,False,False,False,False
f5dde25e-181e-4235-90a3-882241473bde,RANKED_SOLO_5x5,PLATINUM,IV,B9i5k7yam9RVrn7WnWk2obXYRgSJ68fIreMupWjXHixlXHJ32dF5pdtIVLJMSGyT14zpyHE1JQ-C0w,28,36,24,False,False,False,False
0a1e319b-ac3f-4aaf-8fb7-2f34bfd476ce,RANKED_SOLO_5x5,PLATINUM,IV,j75ciiZnPhNBtu1zCEIO6lcD0XJEa2Kj5Geg0YItJMZ9ic0EInENzscrr8DrwW0aUXLlWK82g7x1FA,39,52,66,False,False,False,False
a76a751a-7a51-4c59-a6b1-f6808674c92b,RANKED_SOLO_5x5,PLATINUM,IV,En42woKjZRbBVjFqKVLZZ_HPhzNXI2Hq9qurFP6uhoWRjCSAODkJPBexsznCiDbIWnj-FnjnHkt00g,52,131,117,False,False,False,False
146c4e08-afef-4a2d-a425-2fc567ece6f9,RANKED_SOLO_5x5,PLATINUM,IV,x3Z-9egiadN9cLnAGYC54Ef7b4YWx2BZfz8QC_sC-pEfftLZQgnHmxfdFjIoS_bQBhXpCtxcwPeUrQ,47,67,78,False,False,False,False
5fded4ee-f7b0-4532-9ab2-3fc20cb860ed,RANKED_SOLO_5x5,PLATINUM,IV,vxPf56Jajsf8r2R-lXdOid25LHgjq9GTeaRPoWAToGId8YEhvZRaeLjsx-AtpTXrcA1y47K55gTtUw,0,33,33,False,False,False,False
f80d8094-befc-4b31-8790-be45930f4270,RANKED_SOLO_5x5,PLATINUM,IV,baEEeg2MYOxDCjRs2cu8CRSxiV4gH9pFkgS6H7aeQJV1C7SmBJjJjORza0sDjCYd8OCNbe4pogtEvg,95,28,23,False,False,False,False
