,target_user,gamelength,puuid,lane,position,kills,deaths,assists,ping_missing,ping_assists,ping_vision,ping_hold,vision_score,wins
0,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,FQuLo4_DI8q0r8pbCcjT1u2PVGdFoToA-Jnr6oXwHavJtBcoTVgqVI59M44Ff7BqOkNGTX8wAs27Hg,TOP,TOP,4,4,25,7,10,5,0,36,True
1,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,AD_2gbb6yzZ52S1fUe8nlkPUmyRs_iWTHmkFp1PCwCmeAo0rM3A_tCh8Bhg8E5N-YWOmJhQwBN9LrQ,JUNGLE,JUNGLE,25,9,15,2,22,1,0,45,True
2,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,PWL-bkUs65Gxp0oDdA5fFl61KHAQwNhc45R5PBnLxHZ06M0YOim-wYSEanc7xxzLIA8IhtYF7RqdEw,MIDDLE,MIDDLE,10,12,15,13,3,0,0,51,True
3,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,s6Zwarwrek6GAJwMZG476ioI_kyGHBAkpc3xXAzm3SbQNGb6AaEFArn9H2trp5PWGqffyb65UNcFAQ,BOTTOM,BOTTOM,23,12,10,12,52,4,0,36,True
4,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,BOTTOM,UTILITY,2,8,32,4,0,4,0,108,True
5,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,F-PphH_WrI13ZKmH8ycNF40iaWvqWuqmi3PlpwknpfLaZRggNcy3Yw-78YtkX72usX3UqJOzyR0a1g,TOP,TOP,4,9,16,7,9,2,0,46,False
6,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,hPCGrpy1cz8krZ-ukQAr3cL2J1zPw9gB0cOgjjIsGebOhUmaTtmJ-lgNd1CvI7ho0O5-KZt_ld-T9A,JUNGLE,JUNGLE,8,18,13,15,2,17,0,46,False
7,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,8SGkD4s6cLw05-1XAUn4bYVZ1I9pTavjGuwCmLgmYOZIKlBApq2ollZ4JFwSA5ia9WJvirZY_Z0MXw,MIDDLE,MIDDLE,7,10,12,4,22,3,0,30,False
8,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,3CQlHXFKihYeME-GbJGUFMpV6_yzn5Dh2HxdKCw0ZFCLPPlVTNFbkYCjUZTpPm85VhqR32H6vCaiWg,BOTTOM,BOTTOM,24,15,9,7,8,11,0,21,False
9,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2538.096687993,rfMcdPl_OncbpHNVf3pqTaN10LSfnIlhwia7mz_c9dNy4oDqe8VaXzME805DAUFeENOwB7PaQ4Tdow,BOTTOM,UTILITY,2,12,23,2,0,12,0,54,False
10,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,S8Qv0_I-wL9PzoZV-FJ3YR5B_Hf-mfvLT6CNeHdNzFC_5uTf6tZ2Jkm8P0Q8D4zyVRfwVuRXTIE3hw,TOP,TOP,4,16,2,2,0,0,0,36,False
11,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,OVaxAN7_w4io8d49Efsn6Fuu4WwIp20z_Z7PV9xaZ3d5rRFTC_dThVbuxurJe0nHcmW1HyCtM9aY8A,JUNGLE,JUNGLE,15,8,17,20,7,1,0,67,False
12,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,MhwhUUVm_gnRE3WvDuMCOzyKynyI5WmK-3ZpYMFiPd0o8MNAf2zmiJ5sRy_wf-HiCGmzgqTqfWGqMw,MIDDLE,MIDDLE,15,10,10,0,5,3,0,25,False
13,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,gLz9O7Lv623UWzybl1WreBdXi_bPO19J8GfVIO1Q6Ri-6RD5ZPKT0DxfnzzvXZBByuvUGKWWNfVEtA,MIDDLE,BOTTOM,9,4,17,3,3,0,0,43,False
14,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,_Z_4l0Xfw1cNa85QKaYSFElx0ws6MQiMW4Qd9ljQsePVC9qk3jCptXUGXO5BN1EN5nZH8A2QlHGe_Q,MIDDLE,UTILITY,2,6,24,0,0,0,0,80,False
15,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,2KDcHbN65-Iar2N7mgs_ZKlMWS2N2b-CpnTExT5I2wlls9j5AfAHexgyEbIb2e8cyNd3yjypgOnwvw,TOP,TOP,10,5,18,1,0,0,0,39,True
16,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,q1Y34CXr4xUwZkNgjPtdZXah7eNPYGk2wXqudIR5Mqz_XeGMA9mgByhBTZw9nY6NBt61bUg-zt7UWg,JUNGLE,JUNGLE,9,18,6,19,11,2,0,23,True
17,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,s6Zwarwrek6GAJwMZG476ioI_kyGHBAkpc3xXAzm3SbQNGb6AaEFArn9H2trp5PWGqffyb65UNcFAQ,JUNGLE,MIDDLE,7,9,19,8,35,7,0,39,True
18,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,BOTTOM,BOTTOM,16,7,7,4,0,1,0,24,True
19,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,2599.761472561,Davl2viHhd0h30m8fK1qWVhKY1Js-4E9G6G5F4R56ajGhTD1IeZ_Js0tGcbrrICkxZWj42js_cXP5w,BOTTOM,UTILITY,2,6,16,4,5,1,0,115,True
20,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,TOP,TOP,3,6,9,8,0,4,0,15,False
21,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,cy7x5OLWxl_xgelST3l-3Xgm_3ks89mKDkotDM3lFbyPC1eAWcL5JeCtLJmUbEbgKNBoayXqyhZzsw,JUNGLE,JUNGLE,8,11,6,3,5,0,0,20,False
22,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,s6Zwarwrek6GAJwMZG476ioI_kyGHBAkpc3xXAzm3SbQNGb6AaEFArn9H2trp5PWGqffyb65UNcFAQ,MIDDLE,MIDDLE,3,6,12,9,27,7,0,16,False
23,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,cAMqaLgIERwkQkAYi_ZDBJxE0dPvLM5EC_nw7NSseXLrvbZ29RbWFlMgSFUGHZ4KI9zPIwoJaEboZg,BOTTOM,BOTTOM,6,7,7,10,4,1,0,11,False
24,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,2Z7lmpeyiCv-LFY-KpHCC0Kr52bKxKGqoZa67e9HCpD55fm-RNW2MRmNInYR6p-AmAoec07TJ-mCJw,BOTTOM,UTILITY,6,11,7,1,3,7,0,49,False
25,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,J8L9i8q5zJPE9_GnTjE15k487P4iBrhUrGzZ3F04K1zGFF3iIzs4SHE6649FWkACKFW5ydlqCZxrVw,TOP,TOP,12,5,6,9,2,1,0,9,True
26,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,fJtDsYBdOZv38cqAOfKZQpHwe-1-g7EMwDHcWJ7HcfZ8TWkTJgcyZl81eFO0WLcPtJWC96MuUbOnRA,JUNGLE,JUNGLE,7,5,10,0,3,0,0,36,True
27,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,APwUsc2qO4InY9LRiFOyu5BCBH2LBhsE3JqpOoG-fIl0Z9HyqtTHMQuYnV9l50E1hOCmiS2mpmX3CA,MIDDLE,MIDDLE,7,5,11,3,0,0,0,20,True
28,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,Hdfr7B447IhvnbQFkc0Fgmj1jQ3ZYUNC-h65n62QBDpHT4Zu_Jz-GMHkYAxpjSEjALUSM3wpXIw-FQ,TOP,BOTTOM,10,6,9,5,8,5,0,11,True
29,ttq1d1uWFVGaEUoFS3xwlMSNrpok55ixoK-UXI3H5pDSFjgsdGaJdQyuxJNjlLbwQrvcBOyXPv-bxQ,1721.209964268,alHsE3iusxzbmt5YkZGQAIxSVqxZCFZt5TblQPg9d81J3nZwJiQ4k9l0XUzg9k125t5OXvR9VILwZw,BOTTOM,UTILITY,5,5,21,11,10,11,0,78,True
