,target_user,gamelength,puuid,lane,position,kills,deaths,assists,ping_missing,ping_assists,ping_vision,ping_hold,vision_score,name,tag,wins
0,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,ujZ6hr_sZ7GjCAUgw0Fw-H3Lp129xoYy_wVcmq8JZ80b9Q8asFR55039uK5HYnIr8Jr7Oa9nQdNsqw,TOP,TOP,1,6,2,2,0,0,0,5,판다 구르기,마라탕,False
1,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,u9L93jVyDJZzPnq8Oyv1IwbzilN-eALVhvL_zHXPDbeTmUYZYwpa1Tpa7GU-9vJNJ2_QRktkLjw5tA,JUNGLE,JUNGLE,3,5,11,0,0,0,0,19,알파메일강태현,0110,False
2,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,BOTTOM,MIDDLE,7,10,6,1,2,0,0,10,나는돌거북,다겨리,False
3,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,FeeoHZZEqI6JW5RWHXFi9RQ51YI2b63YK5blBQeGtYo11D4aq7kReCMv-F6FZBFmszL8yYiM4MaLjQ,BOTTOM,BOTTOM,9,9,6,1,0,0,0,17,세민박,Diane,False
4,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,l5fWZtycUzap0fVUh199kYjf2VWvMr9WNWW2FZMVzUetasoIy1kCUYUV-Z-7BAQ_2eDyYw8D8PTBjA,BOTTOM,UTILITY,1,8,16,12,0,0,0,57,2skye,KR1,False
5,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,mBnZgaUJ3WlrpQ0_Xp7ptWIloa0MTjQSt2hq3jhPc3r394uR19nWoEAMzka6w7gxmEXIdQIkepHZSQ,JUNGLE,TOP,6,2,9,1,0,2,0,26,llllllllllllllll,8263,True
6,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,Ei7MYMhwkLysV0HXLxQ0hZp3dFk81zLuvpsk41YRR_jK25t3nf2c46ky4tfvp18oygClCefXa9XLeA,JUNGLE,JUNGLE,14,5,7,10,0,0,0,24,탱 통,KR1,True
7,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,99qNpcMaFYGU-toIk0kI8Uxxuxwepdga3FKd7Lq531jXJj63iMBIzERp-DdNNJSvf6R5L9AjryNPfw,MIDDLE,MIDDLE,7,2,11,8,0,2,0,11,진범은바로너다,KR1,True
8,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,vnF6hTjFcqnnnGGJXMaPBzoIShh4OIJnTjj-ZUcJo18xEjuFr3maXIMaXAs5o29YV_B9sgYewPss_Q,BOTTOM,BOTTOM,9,5,11,0,0,0,0,8,서폿님힘들어요,112,True
9,aLK7ytvGAIFkRfu-jA4Jg0HcvWmzuaCvxpwKJ3QNDJPbklcZCkEa4ctxxEuxJNNtayH0Ooyyk7Koow,1453.863565559,xxOBUukVyVheNr3vqoQonHQFtXtygxjouoaB7AJ4XNDAFsDzWCWGkD7IJXllst1Cnvitxyh4yWMVZA,BOTTOM,UTILITY,1,7,13,2,2,12,0,50,오구리,소구리,True
